,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Agadir,"Gaza City, Palestine","Hangzhou, China","Pleven, Bulgaria","Portsmouth, United States",,,,,,,,,,,,,,,
Ahfir,"Hérouville-Saint-Clair, France",,,,,,,,,,,,,,,,,,
Asilah,"Albuñol, Spain","Sintra, Portugal",,,,,,,,,,,,,,,,,
Berkane,"Bondy, France","Perpignan, France","Saint-Gilles, Belgium","Zeist, Netherlands",,,,,,,,,,,,,,,
Berrechid,"Çekmeköy, Turkey",,,,,,,,,,,,,,,,,,
Casablanca,"Bordeaux, France","Busan, South Korea","Chicago, United States","Dakar, Senegal","Dubai, United Arab Emirates","Jakarta, Indonesia","Kuala Lumpur, Malaysia","Muscat, Oman","Nouadhibou, Mauritania","Shanghai, China",,,,,,,,,
Chefchaouen,"Dijon, France","Issaquah, United States","Kunming, China",,,,,,,,,,,,,,,,
Deroua,"Ümraniye, Turkey",,,,,,,,,,,,,,,,,,
Essaouira,"Cascais, Portugal","Changshu, China","La Rochelle, France",,,,,,,,,,,,,,,,
Fez,"Bobo-Dioulasso, Burkina Faso","Chengdu, China","Coimbra, Portugal","Córdoba, Spain","East Jerusalem, Palestine","Florence, Italy","Jericho, Palestine","Kairouan, Tunisia","Kraków, Poland","Lahore, Pakistan","Montpellier, France","Saint-Louis, Senegal","Suwon, South Korea","Wuxi, China","Xi'an, China",,,,
Figuig,"Stains, France",,,,,,,,,,,,,,,,,,
El Hajeb,"Council Bluffs, United States",,,,,,,,,,,,,,,,,,
Al Hoceima,"Albuñol, Spain","Sint-Niklaas, Belgium",,,,,,,,,,,,,,,,,
Ifrane,"Albuñol, Spain",,,,,,,,,,,,,,,,,,
El Jadida,"Arenzano, Italy","Barcelos, Portugal","Nabeul, Tunisia","Sète, France","Sintra, Portugal","Varennes, Canada","Vierzon, France","Tacoma, United States",,,,,,,,,,,
Kenitra,"Bergerac, France","Gaziantep, Turkey","Hammam-Lif, Tunisia","Karatay, Turkey","Sancaktepe, Turkey","Santa Maria da Feira, Portugal","Santos, Brazil","Tavira, Portugal",,,,,,,,,,,
Ksar el-Kebir,"Lagos, Portugal",,,,,,,,,,,,,,,,,,
Larache,"Compiègne, France",,,,,,,,,,,,,,,,,,
Marrakesh,"Granada, Spain","Marseille, France","Ningbo, China","Scottsdale, United States","Sousse, Tunisia","Timbuktu, Mali",,,,,,,,,,,,,
M'diq,"Frontignan, France",,,,,,,,,,,,,,,,,,
Meknes,"Cenon, France","Nîmes, France","Santarém, Portugal","Tulkarm, Palestine",,,,,,,,,,,,,,,
Mohammedia,"Ghent, Belgium","Oeiras, Portugal",,,,,,,,,,,,,,,,,
Moulay Yacoub,"Aix-les-Bains, France",,,,,,,,,,,,,,,,,,
Ouarzazate,"Maubeuge, France",,,,,,,,,,,,,,,,,,
Oujda,"East Jerusalem, Palestine","Grenoble, France","Lille, France","Molenbeek-Saint-Jean, Belgium","Trowbridge, England, United Kingdom",,,,,,,,,,,,,,
Rabat,"Bethlehem, Palestine","Cairo, Egypt","Guangzhou, China","Honolulu, United States","Istanbul, Turkey","Lisbon, Portugal","Lyon, France","Madrid, Spain","Nablus, Palestine","Tunis, Tunisia",,,,,,,,,
Safi,"Boulogne-sur-Mer, France","Montereau-Fault-Yonne, France","Salaberry-de-Valleyfield, Canada","Setúbal, Portugal","Sfax, Tunisia",,,,,,,,,,,,,,
Salé,"Aryanah, Tunisia","Beitunia, Palestine","Gandiaye, Senegal","Grand Yoff, Senegal","Maroua, Cameroon","Portalegre, Portugal","Tlaxcala de Xicohténcatl, Mexico",,,,,,,,,,,,
Settat,"La Celle-Saint-Cloud, France","Yinchuan, China",,,,,,,,,,,,,,,,,
Skhirat,"Betz, France",,,,,,,,,,,,,,,,,,
Tangier,"Algeciras, Spain","Bizerte, Tunisia","Cádiz, Spain","Da Nang, Vietnam","Faro, Portugal","Liège, Belgium","Metz, France","Puteaux, France","Saint-Denis, Réunion, France","Saint-Josse-ten-Noode, Belgium","Santiago, Chile","Sétif, Algeria",,,,,,,
Tétouan,"Granada, Spain","Khan Yunis, Palestine","Monastir, Tunisia","Terrassa, Spain",,,,,,,,,,,,,,,
Tiznit,"İzmit, Turkey","Saint-Denis, France","Somerville, United States",,,,,,,,,,,,,,,,
Zagora,"Chapelle-lez-Herlaimont, Belgium",,,,,,,,,,,,,,,,,,
Bergrivier,"Heist-op-den-Berg, Belgium",,,,,,,,,,,,,,,,,,
Bloemfontein,"Bhubaneswar, India","Nanjing, China",,,,,,,,,,,,,,,,,
Buffalo City,"Jinhua, China","Leiden, Netherlands","Milwaukee County, United States","Oldenburg, Germany","Qinhuangdao, China",,,,,,,,,,,,,,
Cape Town,"Aachen, Germany","Accra, Ghana","Antwerp, Belgium","Bujumbura, Burundi","Dubai, United Arab Emirates","Funchal, Portugal","Haifa, Israel","Hangzhou, China","Maputo, Mozambique","Malmö, Sweden","Miami-Dade County, United States","Monterrey, Mexico","Rio de Janeiro, Brazil","Saint Petersburg, Russia","Varna, Bulgaria",,,,
Dordrecht,"Dordrecht, Netherlands",,,,,,,,,,,,,,,,,,
Drakenstein,"Walvis Bay, Namibia",,,,,,,,,,,,,,,,,,
Durban,"Alexandria, Egypt","Bremen, Germany","Bulawayo, Zimbabwe","Chicago, United States","Daejeon, South Korea","Guangzhou, China","Kaohsiung, Taiwan","Leeds, England, United Kingdom","Libreville, Gabon","Maputo, Mozambique","Mersin, Turkey","Mombasa, Kenya","New Orleans, United States","Oran, Algeria","Le Port, Réunion, France",,,,
East London,"Daqing, China",,,,,,,,,,,,,,,,,,
Ekurhuleni,"Harbin, China",,,,,,,,,,,,,,,,,,
Franschhoek,"Dilbeek, Belgium",,,,,,,,,,,,,,,,,,
George,"Saint Paul, United States","Tacoma, United States",,,,,,,,,,,,,,,,,
iLembe,"Mobile, United States","Zhanjiang, China",,,,,,,,,,,,,,,,,
Johannesburg,"Addis Ababa, Ethiopia","Birmingham, England, United Kingdom","Ho Chi Minh City, Vietnam","New York City, United States","Ramallah, Palestine","Taipei, Taiwan","Verona, Italy","Windhoek, Namibia",,,,,,,,,,,
King Cetshwayo,"Milwaukee, United States",,,,,,,,,,,,,,,,,,
Mathopestad,"Berkeley, United States",,,,,,,,,,,,,,,,,,
Mbombela,"Baotou, China","Maia, Portugal","Mbabane, Eswatini",,,,,,,,,,,,,,,,
Mogale,"Wujiang (Suzhou), China",,,,,,,,,,,,,,,,,,
Mossel Bay,"Denpasar, Indonesia",,,,,,,,,,,,,,,,,,
Msunduzi,"Hampton, United States","Taichung, Taiwan",,,,,,,,,,,,,,,,,
Nelson Mandela Bay,"Gothenburg, Sweden","Jacksonville, United States","Ningbo, China","Tainan, Taiwan",,,,,,,,,,,,,,,
Newcastle,"Nanchang, China","Zibo, China",,,,,,,,,,,,,,,,,
Oudtshoorn,"Alphen aan den Rijn, Netherlands","Hualien, Taiwan",,,,,,,,,,,,,,,,,
Oukasie,"Berkeley, United States",,,,,,,,,,,,,,,,,,
Polokwane,"Reggio Emilia, Italy",,,,,,,,,,,,,,,,,,
Pretoria,"Baku, Azerbaijan","Bucharest, Romania","Bulawayo, Zimbabwe","Hanoi, Vietnam","Kyiv, Ukraine","Port Louis, Mauritius","Taipei, Taiwan","Tehran, Iran","Washington, D.C., United States",,,,,,,,,,
Ray Nkonyeni,"Oskarshamn, Sweden",,,,,,,,,,,,,,,,,,
Sol Plaatje,"Changsha, China",,,,,,,,,,,,,,,,,,
Stellenbosch,"Paju, South Korea",,,,,,,,,,,,,,,,,,
Upington,"Temora, Australia",,,,,,,,,,,,,,,,,,
Witzenberg,"Bozhou, China","Essen, Belgium",,,,,,,,,,,,,,,,,
Worcester,"Aalst, Belgium",,,,,,,,,,,,,,,,,,
